tcin,brand,productName,price,regPrice,rating,reviewCount,boughtPastMonth,formFactor,category,url,searchQuery
91719602,Host Defense,Host Defense CordyChi Extract - Energy and Immune Support* - 2 fl oz (60 Servings),29.96,29.96,,,,Other,,https://www.target.com/p/-/A-91719602,mushroom supplement
92382576,Imarais Beauty,"Imarais Beauty Nourish Haircare Gummies for Hair Growth, Anti-Shedding - Vegan and Sugar-Free - 30ct",24.99,24.99,4.48,72,70+ bought in last month,Gummy,,https://www.target.com/p/-/A-92382576,mushroom supplement
91719530,Host Defense,Host Defense Turkey Tail Extract - Digestive Health & Immune Support - 1 fl oz (30 Servings)*,15.71,15.71,,,,Other,,https://www.target.com/p/-/A-91719530,mushroom supplement
1002456527,Mushroom Wisdom,"Mushroom Wisdom Maitake D Fraction®, Pro 4X, 60 ml",78.99,78.99,4.5,6,,Other,,https://www.target.com/p/-/A-1002456527,mushroom supplement
93164524,Four Sigmatic,Four Sigmatic Calm Organic Mushroom Vegan Vitamin Capsules - 90ct,29.99,29.99,5.0,3,,Capsule,,https://www.target.com/p/-/A-93164524,mushroom supplement
91719584,Host Defense,Host Defense Stamets 7 Extract - 7 Species Blend for Immune Support - 2 fl oz (60 Servings)*,29.96,29.96,,,,Powder,,https://www.target.com/p/-/A-91719584,mushroom supplement
94650065,Further Food,Further Food Collagen Peptides Powder + Beauty Mushroom - Vanilla - 10.37oz,27.49,27.49,4.86,567,,Powder,,https://www.target.com/p/-/A-94650065,mushroom supplement
1005172371,Greenpeople,"Greenpeople 10-in-1 Mushroom Coffee with Arabica w, Lion's Mane, Reishi, Instant Mushrooms Powder for Focus & Immunity - 6.2 OZ",15.99,20.99,5.0,1,,Coffee,,https://www.target.com/p/-/A-1005172371,mushroom supplement
1002538660,Real Mushrooms,"Real Mushrooms Lion's Mane, Mushroom Extract Powder, 300 Capsules",73.99,73.99,5.0,1,,Powder,,https://www.target.com/p/-/A-1002538660,mushroom supplement
93266588,Kuli Kuli,Kuli Kuli Daily Green Power Superfood Dietary Supplement Gummies - Green Apple - 60ct,16.48,19.39,4.81,141,,Gummy,,https://www.target.com/p/-/A-93266588,mushroom supplement
1002978222,Frontier Co-Op,"Frontier Co-op Organic Whole Dried Codyceps Mushrooms, 4 oz (113 g)",23.99,23.99,0.0,0,,Other,,https://www.target.com/p/-/A-1002978222,mushroom supplement
88449668,BLOOM NUTRITION,"BLOOM NUTRITION Greens and Superfoods Powder - Original - 5.3oz/30ct: Dietary Supplement, Unflavored",39.99,39.99,,,,Powder,,https://www.target.com/p/-/A-88449668,mushroom supplement
90981903,BLOOM NUTRITION,BLOOM NUTRITION Greens and Superfoods Powder - Peach - 5ct,9.99,9.99,4.29,42,90+ bought in last month,Powder,,https://www.target.com/p/-/A-90981903,mushroom supplement
1007538275,Swanson,"Swanson Premium Organic Lion's Mane Mushroom, 60 Vegan Capsules",19.99,19.99,4.84,6,,Capsule,,https://www.target.com/p/-/A-1007538275,mushroom supplement
91719619,Host Defense,"Host Defense MycoBotanicals Brain & Body* Powder - Brain, Digestive & Immune Support - 3.5 oz (33 Servings)*",23.96,23.96,0.0,0,,Powder,,https://www.target.com/p/-/A-91719619,mushroom supplement
